Birth Rate,CO2 Emissions,Country,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Cluster Category
0.009,352259.0,Ukraine,50132953288,0.069,73,0.014,0.0,0.179,74,63,0.1,0.156,0.693,0.15,47812950,0.674,1204000000,953000000,Cluster 2
0.012,540640.0,United Kingdom,1875141224490,0.078,2444,0.005,0.6,0.037,81,76,0.9,0.183,0.658,0.159,59647577,0.793,30736000000,58627000000,Cluster 2
0.02,16468.0,Bahrain,11075116594,0.037,536,0.01,0.2,0.083,76,74,0.6,0.294,0.683,0.023,772058,0.884,1206000000,492000000,Cluster 2
0.022,65122.0,Israel,118673283415,0.077,1364,0.005,0.2,0.106,82,78,1.0,0.28,0.62,0.1,6689700,0.914,2473000000,3341000000,Cluster 2
0.03,17470.0,Jordan,10193023726,0.092,187,0.022,0.1,0.093,74,71,0.3,0.387,0.582,0.031,5164000,0.806,1266000000,503000000,Cluster 1
0.022,61657.0,Kuwait,47875837662,0.032,728,0.01,0.2,0.054,75,73,0.7,0.256,0.71,0.034,2116353,0.982,328000000,3750000000,Cluster 2
0.016,18221.0,Lebanon,20082918740,0.093,498,0.014,0.1,0.134,78,74,0.2,0.284,0.643,0.073,3690110,0.863,6782000000,3319000000,Cluster 2
0.022,32391.0,Oman,21542262852,0.032,294,0.012,0.1,0.082,76,72,0.2,0.364,0.612,0.025,2389121,0.715,546000000,804000000,Cluster 2
0.028,54286.0,Syrian Arab Republic,21828144686,0.051,60,0.018,0.0,0.075,76,72,0.1,0.396,0.57,0.034,17298476,0.53,877000000,734000000,Cluster 1
0.037,17305.0,"Yemen, Rep.",11777768087,0.05,35,0.061,0.0,0.18,63,60,0.0,0.47,0.503,0.027,19081306,0.278,139000000,134000000,Cluster 1
0.024,862.0,Fiji,2315935753,0.034,95,0.02,0.1,0.076,71,66,0.1,0.324,0.638,0.038,817224,0.491,496000000,88000000,Cluster 1
0.028,147.0,"Micronesia, Fed. Sts.",244990984,0.095,218,0.039,0.1,0.15,68,67,0.1,0.393,0.568,0.039,106816,0.223,17000000,6000000,Cluster 1
0.014,33938.0,New Zealand,87440435752,0.079,1602,0.006,0.6,0.07,81,77,0.6,0.221,0.661,0.119,4027200,0.86,4232000000,1649000000,Cluster 2
0.034,3968.0,Papua New Guinea,3536459120,0.041,25,0.057,0.0,0.134,62,58,0.0,0.401,0.573,0.026,5803302,0.131,4900000,52000000,Cluster 1
0.035,180.0,Solomon Islands,332736307,0.06,45,0.029,0.0,0.147,66,63,0.0,0.415,0.556,0.029,446335,0.17,1600000,6400000,Cluster 1
0.029,176.0,Tonga,208098552,0.051,106,0.014,0.0,0.113,74,69,0.1,0.382,0.559,0.06,99691,0.231,10300000,13200000,Cluster 1
0.031,81.0,Vanuatu,314463144,0.037,58,0.018,0.0,0.059,71,67,0.0,0.404,0.564,0.032,198952,0.225,83000000,14000000,Cluster 1
0.019,389.0,Antigua and Barbuda,849234754,0.044,457,0.012,0.2,0.128,77,72,0.6,0.288,0.64,0.071,80904,0.305,300000000,35000000,Cluster 2
0.018,133127.0,Argentina,156988741752,0.082,280,0.017,0.1,0.191,78,71,0.2,0.27,0.629,0.101,37970411,0.897,2306000000,2997000000,Cluster 2
0.016,1518.0,"Bahamas, The",6949317000,0.056,1237,0.013,0.2,0.06,76,70,0.4,0.271,0.67,0.059,315624,0.822,1770000000,404000000,Cluster 2
0.013,1269.0,Barbados,3271200000,0.071,702,0.015,0.4,0.085,76,71,0.5,0.211,0.677,0.112,270844,0.333,767000000,153000000,Cluster 2
0.03,14129.0,Bolivia,8082396526,0.056,50,0.049,0.0,0.177,66,62,0.1,0.39,0.567,0.043,9016787,0.633,243000000,197000000,Cluster 1
0.019,321622.0,Brazil,552469288268,0.07,214,0.024,0.1,0.671,75,67,0.3,0.283,0.658,0.059,181752951,0.822,2673000000,2874000000,Cluster 1
0.011,553185.0,Canada,887751766469,0.098,2680,0.005,0.6,0.047,82,77,0.4,0.183,0.689,0.129,31676000,0.8,12236000000,16309000000,Cluster 2
0.016,55078.0,Chile,77840186385,0.071,338,0.008,0.3,0.062,81,75,0.5,0.261,0.662,0.077,15995658,0.869,1309000000,1109000000,Cluster 2
0.022,57422.0,Colombia,94684582573,0.059,134,0.02,0.1,0.152,76,68,0.1,0.316,0.635,0.049,41872051,0.73,1191000000,1349000000,Cluster 2
0.018,6626.0,Costa Rica,17517536016,0.081,343,0.009,0.2,0.256,81,76,0.2,0.293,0.65,0.057,4171145,0.631,1424000000,434000000,Cluster 2
0.024,21888.0,Dominican Republic,21268012747,0.065,143,0.031,0.1,0.314,74,68,0.2,0.338,0.607,0.055,9071318,0.646,3128000000,408000000,Cluster 1
0.024,26523.0,Ecuador,32432859000,0.067,164,0.026,0.0,0.136,77,71,0.2,0.334,0.612,0.054,13279806,0.613,408000000,500000000,Cluster 1
0.019,216.0,Grenada,596339089,0.062,359,0.013,0.2,0.12,73,69,0.4,0.319,0.603,0.077,102369,0.36,104000000,8000000,Cluster 2
0.035,10502.0,Guatemala,21917565500,0.064,116,0.036,0.0,0.15,73,66,0.2,0.436,0.522,0.042,12062835,0.463,646000000,373000000,Cluster 1
0.03,1734.0,Haiti,2826481072,0.053,17,0.069,0.0,0.442,60,57,0.0,0.389,0.57,0.041,8996229,0.406,96000000,202000000,Cluster 1
0.03,6769.0,Honduras,8140294080,0.083,103,0.028,0.0,0.208,74,69,0.1,0.409,0.55,0.041,6628171,0.472,372000000,274000000,Cluster 1
0.017,10722.0,Jamaica,9430236065,0.046,162,0.019,0.1,0.189,74,68,0.6,0.318,0.606,0.076,2624695,0.524,1621000000,269000000,Cluster 2
0.023,405633.0,Mexico,713284260880,0.058,397,0.018,0.1,0.07,78,73,0.3,0.33,0.618,0.051,108056312,0.757,10058000000,7252000000,Cluster 2
0.026,4411.0,Nicaragua,5322437648,0.061,61,0.029,0.0,0.155,74,68,0.1,0.391,0.57,0.039,5317878,0.555,160000000,139000000,Cluster 1
0.023,6153.0,Panama,12933200000,0.076,303,0.02,0.1,0.099,78,73,0.2,0.313,0.629,0.058,3240805,0.631,804000000,267000000,Cluster 2
0.027,4070.0,Paraguay,6588103836,0.061,71,0.025,0.0,0.5,73,69,0.3,0.368,0.586,0.046,5682350,0.569,81000000,115000000,Cluster 1
0.023,26380.0,Peru,57840001637,0.045,102,0.025,0.1,0.21,74,69,0.1,0.328,0.62,0.052,27073334,0.742,1023000000,847000000,Cluster 1
